0.00.550.402 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.550.408 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.550.411 W model has unused tensor blk.64.attn_q.weight (size = 43253760 bytes) -- ignoring
0.00.550.412 W model has unused tensor blk.64.attn_k.weight (size = 3604480 bytes) -- ignoring
0.00.550.413 W model has unused tensor blk.64.attn_v.weight (size = 3604480 bytes) -- ignoring
0.00.550.417 W model has unused tensor blk.64.attn_output.weight (size = 21626880 bytes) -- ignoring
0.00.550.418 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.550.420 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.550.422 W model has unused tensor blk.64.ffn_gate.weight (size = 61276160 bytes) -- ignoring
0.00.550.423 W model has unused tensor blk.64.ffn_down.weight (size = 61276160 bytes) -- ignoring
0.00.550.424 W model has unused tensor blk.64.ffn_up.weight (size = 61276160 bytes) -- ignoring
0.00.550.426 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 36044800 bytes) -- ignoring
0.00.550.428 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.550.429 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.550.432 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.02.940.557 I 
0.02.940.632 I system_info: n_threads = 16 (n_threads_batch = 16) / 32 | CUDA : ARCHS = 1200 | USE_GRAPHS = 1 | BLACKWELL_NATIVE_FP4 = 1 | CPU : SSE3 = 1 | SSSE3 = 1 | AVX = 1 | AVX_VNNI = 1 | AVX2 = 1 | F16C = 1 | FMA = 1 | BMI2 = 1 | AVX512 = 1 | AVX512_VBMI = 1 | AVX512_VNNI = 1 | AVX512_BF16 = 1 | LLAMAFILE = 1 | OPENMP = 1 | REPACK = 1 | 
0.02.944.849 I hellaswag_score : loaded 10042 tasks from prompt.
0.02.944.852 I ================================= is_spm = 0
0.02.944.853 I hellaswag_score : selecting 10042 randomized tasks.
0.05.630.252 I hellaswag_score : calculating hellaswag score over selected tasks.

task	acc_norm	95% confidence interval
1	100.00000000%	[20.6549%, 100.0000%]
2	100.00000000%	[34.2380%, 100.0000%]
3	100.00000000%	[43.8503%, 100.0000%]
4	100.00000000%	[51.0109%, 100.0000%]
5	100.00000000%	[56.5518%, 100.0000%]
6	100.00000000%	[60.9666%, 100.0000%]
7	100.00000000%	[64.5670%, 100.0000%]
8	87.50000000%	[52.9112%, 97.7583%]
9	77.77777778%	[45.2589%, 93.6775%]
10	70.00000000%	[39.6778%, 89.2209%]
11	63.63636364%	[35.3801%, 84.8335%]
12	66.66666667%	[39.0622%, 86.1880%]
13	61.53846154%	[35.5229%, 82.2903%]
14	57.14285714%	[32.5906%, 78.6192%]
15	60.00000000%	[35.7468%, 80.1755%]
16	62.50000000%	[38.6410%, 81.5188%]
17	64.70588235%	[41.3004%, 82.6903%]
18	66.66666667%	[43.7495%, 83.7212%]
19	68.42105263%	[46.0104%, 84.6356%]
20	70.00000000%	[48.1027%, 85.4523%]
21	71.42857143%	[50.0436%, 86.1861%]
22	72.72727273%	[51.8483%, 86.8492%]
23	73.91304348%	[53.5300%, 87.4514%]
24	75.00000000%	[55.1006%, 88.0006%]
25	72.00000000%	[52.4234%, 85.7161%]
26	73.07692308%	[53.9170%, 86.2956%]
27	74.07407407%	[55.3214%, 86.8296%]
28	71.42857143%	[52.9407%, 84.7460%]
29	72.41379310%	[54.2829%, 85.3012%]
30	73.33333333%	[55.5520%, 85.8173%]
31	74.19354839%	[56.7539%, 86.2983%]
32	75.00000000%	[57.8934%, 86.7476%]
33	75.75757576%	[58.9754%, 87.1683%]
34	76.47058824%	[60.0039%, 87.5630%]
35	77.14285714%	[60.9827%, 87.9341%]
36	77.77777778%	[61.9153%, 88.2837%]
37	78.37837838%	[62.8049%, 88.6135%]
38	78.94736842%	[63.6542%, 88.9252%]
39	79.48717949%	[64.4660%, 89.2203%]
40	80.00000000%	[65.2427%, 89.5000%]
41	80.48780488%	[65.9864%, 89.7656%]
42	80.95238095%	[66.6992%, 90.0180%]
43	81.39534884%	[67.3830%, 90.2582%]
44	81.81818182%	[68.0394%, 90.4872%]
45	82.22222222%	[68.6702%, 90.7056%]
46	82.60869565%	[69.2766%, 90.9142%]
47	82.97872340%	[69.8602%, 91.1136%]
48	83.33333333%	[70.4222%, 91.3045%]
49	83.67346939%	[70.9637%, 91.4873%]
50	84.00000000%	[71.4858%, 91.6626%]
51	84.31372549%	[71.9896%, 91.8308%]
52	84.61538462%	[72.4759%, 91.9923%]
53	84.90566038%	[72.9458%, 92.1476%]
54	83.33333333%	[71.2635%, 90.9756%]
